,Year,Sector,Subsector,Indicator,Amount,Country,Rank
0,1980,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,244.0,Afghanistan,163
1,1981,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,237.0,Afghanistan,166
2,1982,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,231.0,Afghanistan,168
3,1983,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,224.0,Afghanistan,169
4,1984,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,218.0,Afghanistan,171
5,1985,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,211.0,Afghanistan,175
6,1986,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,204.0,Afghanistan,174
7,1987,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,198.0,Afghanistan,174
8,1988,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,191.0,Afghanistan,174
9,1989,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,185.0,Afghanistan,172
10,1990,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,178.0,Afghanistan,169
11,1991,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,172.0,Afghanistan,168
12,1992,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,166.0,Afghanistan,166
13,1993,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,161.0,Afghanistan,165
14,1994,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,156.0,Afghanistan,164
15,1995,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,151.0,Afghanistan,163
16,1996,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,146.0,Afghanistan,162
17,1998,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,137.0,Afghanistan,161
18,1999,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,133.0,Afghanistan,161
19,2000,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,129.0,Afghanistan,161
20,2001,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,125.0,Afghanistan,163
21,2002,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,121.0,Afghanistan,163
22,2003,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,117.0,Afghanistan,162
23,2004,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,113.0,Afghanistan,161
24,2005,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,108.0,Afghanistan,163
25,2006,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,104.0,Afghanistan,164
26,2007,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,100.0,Afghanistan,164
27,2008,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,96.0,Afghanistan,164
28,2009,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,92.0,Afghanistan,165
29,2010,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,88.0,Afghanistan,164
30,2011,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,84.0,Afghanistan,164
31,2012,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,80.0,Afghanistan,164
32,2013,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,77.0,Afghanistan,164
33,2014,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,74.0,Afghanistan,164
34,2015,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,70.0,Afghanistan,163
35,2016,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,68.0,Afghanistan,163
36,2017,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,65.0,Afghanistan,162
37,2018,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,62.0,Afghanistan,162
38,2019,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,60.0,Afghanistan,161
39,2020,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,58.0,Afghanistan,161
40,1984,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,12.0,Australia,17
41,1983,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,64.0,Albania,90
42,1985,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,55.0,Albania,95
43,1986,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,51.0,Albania,89
44,1987,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,48.0,Albania,88
45,1988,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,45.0,Albania,88
46,1989,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,43.0,Albania,89
47,1990,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,41.0,Albania,88
48,1991,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,39.0,Albania,88
49,1983,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,176.0,Haiti,150
50,1984,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,171.0,Haiti,153
51,1985,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,167.0,Haiti,156
52,1986,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,162.0,Haiti,157
53,1997,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,21.0,Russia,67
54,1998,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,21.0,Russia,67
55,1999,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,20.0,Russia,69
56,2000,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,19.0,Russia,67
57,2001,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,18.0,Russia,67
58,2002,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,17.0,Russia,65
59,1984,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,167.0,Rwanda,152
60,1985,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,160.0,Rwanda,154
61,1986,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,155.0,Rwanda,155
62,1987,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,150.0,Rwanda,154
63,1988,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,147.0,Rwanda,154
64,1989,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,146.0,Rwanda,155
65,1990,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,150.0,Rwanda,159
66,1991,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,160.0,Rwanda,163
67,1992,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,174.0,Rwanda,168
68,1993,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,190.0,Rwanda,174
69,1994,Index,Consumption and investment,Household consumption as percent of GDP,72.87,Uruguay,42
70,1995,Index,Consumption and investment,Household consumption as percent of GDP,72.86,Uruguay,42
71,1996,Index,Consumption and investment,Household consumption as percent of GDP,72.14,Uruguay,49
72,1997,Index,Consumption and investment,Household consumption as percent of GDP,74.9,Uruguay,38
73,1998,Index,Consumption and investment,Household consumption as percent of GDP,74.56,Uruguay,46
74,1999,Index,Consumption and investment,Household consumption as percent of GDP,75.92,Uruguay,40
75,2006,Economy,Banking system efficiency and stability,Bank credit as percent of bank deposits,85.23,Ivory Coast,108
76,2007,Economy,Banking system efficiency and stability,Bank credit as percent of bank deposits,80.67,Ivory Coast,95
77,2008,Economy,Banking system efficiency and stability,Bank credit as percent of bank deposits,86.86,Ivory Coast,91
78,2009,Economy,Banking system efficiency and stability,Bank credit as percent of bank deposits,83.46,Ivory Coast,85
79,2010,Economy,Banking system efficiency and stability,Bank credit as percent of bank deposits,77.65,Ivory Coast,81
80,2011,Economy,Banking system efficiency and stability,Bank credit as percent of bank deposits,68.53,Ivory Coast,54
81,2012,Economy,Banking system efficiency and stability,Bank credit as percent of bank deposits,66.52,Ivory Coast,52
82,2013,Economy,Banking system efficiency and stability,Bank credit as percent of bank deposits,69.92,Ivory Coast,55
83,2014,Economy,Banking system efficiency and stability,Bank credit as percent of bank deposits,70.81,Ivory Coast,55
84,2015,Economy,Banking system efficiency and stability,Bank credit as percent of bank deposits,74.08,Ivory Coast,67
85,2016,Economy,Banking system efficiency and stability,Bank credit as percent of bank deposits,85.45,Ivory Coast,91
86,2017,Economy,Banking system efficiency and stability,Bank credit as percent of bank deposits,87.43,Ivory Coast,90
87,1989,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,51.0,Algeria,98
88,1990,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,49.0,Algeria,99
89,1991,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,48.0,Algeria,98
90,1992,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,47.0,Algeria,97
91,1993,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,46.0,Algeria,98
92,1994,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,44.0,Algeria,97
93,1995,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,43.0,Algeria,98
94,1996,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,42.0,Algeria,99
95,1997,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,41.0,Algeria,100
96,1998,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,41.0,Algeria,104
97,1999,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,40.0,Algeria,106
98,2000,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,40.0,Algeria,112
99,2001,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,39.0,Algeria,112
100,2002,Health,Child and maternal mortality,Deaths of children under five years of age per 1000 live births,38.0,Algeria,112